Gene,label
ENSG00000001629,Cytosol;Plasma membrane
ENSG00000002549,Cytosol
ENSG00000002746,Cytosol
ENSG00000002822,Nuclear membrane;Nucleoplasm
ENSG00000002834,Cytosol;Plasma membrane
ENSG00000003147,Cytosol;Vesicles
ENSG00000003402,Cytosol;Nucleus;Plasma membrane
ENSG00000003989,Cell Junctions;Plasma membrane
ENSG00000004468,Plasma membrane
ENSG00000004660,Cytosol
ENSG00000004779,Mitochondria
ENSG00000004864,Mitochondria
ENSG00000004866,Nucleoplasm
ENSG00000005007,Nucleoplasm
ENSG00000005020,Cytosol;Nucleoplasm
ENSG00000005022,Mitochondria
ENSG00000005073,Nucleoplasm
ENSG00000005100,Nucleoli
ENSG00000005156,Nucleoplasm
ENSG00000005194,Mitochondria
ENSG00000005381,Vesicles
ENSG00000005436,Nucleoplasm
ENSG00000005469,Vesicles
ENSG00000005513,Nucleus
ENSG00000005700,Nucleoplasm
ENSG00000005810,Nucleus
ENSG00000005882,Mitochondria
ENSG00000005884,Plasma membrane
ENSG00000006042,Nucleoplasm
ENSG00000006047,Nucleoli fibrillar center
ENSG00000006062,Cytosol
ENSG00000006125,Vesicles
ENSG00000006194,Cytosol
ENSG00000006210,Plasma membrane
ENSG00000006530,Mitochondria
ENSG00000006638,Plasma membrane
ENSG00000006695,Mitochondria
ENSG00000006704,Nucleoplasm
ENSG00000006712,Nucleoplasm
ENSG00000008018,Nucleus
ENSG00000008083,Nucleus
ENSG00000008128,Cytosol;Nuclear speckles
ENSG00000008226,Cytosol
ENSG00000008256,Cytosol
ENSG00000008323,Cell Junctions
ENSG00000008405,Nucleus
ENSG00000008441,Nucleoplasm
ENSG00000008988,Cytosol;Endoplasmic reticulum
ENSG00000009724,Golgi apparatus
ENSG00000009765,Plasma membrane
ENSG00000009844,Cytosol;Vesicles
ENSG00000009950,Nucleus
ENSG00000009954,Nuclear bodies
ENSG00000010017,Cytosol;Nucleoplasm
ENSG00000010072,Nucleoplasm
ENSG00000010256,Mitochondria
ENSG00000010270,Vesicles
ENSG00000010278,Plasma membrane
ENSG00000010292,Cytosol;Nucleus
ENSG00000010318,Nucleoplasm
ENSG00000010610,Plasma membrane
ENSG00000010626,Nucleoli
ENSG00000010671,Vesicles
ENSG00000010803,Nucleoplasm
ENSG00000010818,Nucleoplasm
ENSG00000011243,Nuclear speckles
ENSG00000011260,Nucleoli
ENSG00000011275,Cytosol
ENSG00000011304,Nucleoplasm
ENSG00000011376,Mitochondria
ENSG00000011405,Nucleus
ENSG00000011422,Plasma membrane
ENSG00000011478,Golgi apparatus
ENSG00000011485,Cytosol;Vesicles
ENSG00000011523,Microtubule organizing center
ENSG00000012779,Nucleoplasm
ENSG00000013275,Cytosol;Nucleus
ENSG00000013441,Nuclear membrane;Nucleoplasm
ENSG00000013561,Cytosol
ENSG00000013573,Centrosome;Nucleoli fibrillar center;Nucleus
ENSG00000013619,Nucleoplasm
ENSG00000014123,Endoplasmic reticulum
ENSG00000014138,Nucleoplasm
ENSG00000014216,Cytosol
ENSG00000014641,Cytosol
ENSG00000014919,Mitochondria
ENSG00000015153,Nucleoplasm
ENSG00000015171,Nucleoplasm
ENSG00000015475,Cytosol
ENSG00000018189,Cytosol
ENSG00000019505,Vesicles
ENSG00000019582,Golgi apparatus
ENSG00000019995,Cytosol;Nucleoplasm
ENSG00000020129,Cytosol
ENSG00000020633,Cytosol;Nucleus
ENSG00000021355,Cytoplasmic bodies
ENSG00000022267,Cytosol
ENSG00000022556,Cytosol
ENSG00000023228,Mitochondria
ENSG00000023287,Cytosol
ENSG00000023445,Cytosol;Nucleoplasm
ENSG00000023608,Nucleoli;Nucleus
ENSG00000023697,Nucleus
ENSG00000023902,Mitochondria
ENSG00000024422,Plasma membrane
ENSG00000024526,Nucleoli fibrillar center;Nucleus
ENSG00000025156,Nucleoplasm
ENSG00000025293,Nuclear membrane
ENSG00000025796,Endoplasmic reticulum
ENSG00000028116,Endoplasmic reticulum
ENSG00000028203,Nucleoplasm
ENSG00000032219,Nucleoplasm
ENSG00000032389,Nucleoli;Nucleus
ENSG00000033050,Cytosol
ENSG00000033327,Plasma membrane
ENSG00000033867,Focal adhesion sites;Plasma membrane
ENSG00000034152,Cytosol;Nucleoplasm
ENSG00000034693,Peroxisomes
ENSG00000035664,Vesicles
ENSG00000035687,Cytosol
ENSG00000036473,Mitochondria
ENSG00000036672,Cytosol
ENSG00000037042,Microtubule organizing center
ENSG00000037241,Cytosol;Endoplasmic reticulum;Nucleoli
ENSG00000037474,Nucleus
ENSG00000037757,Cytosol;Nucleoli fibrillar center;Nucleoplasm
ENSG00000038210,Cytosol
ENSG00000038427,Vesicles
ENSG00000039068,Cell Junctions;Golgi apparatus;Plasma membrane
ENSG00000039123,Nucleus
ENSG00000039560,Nucleus
ENSG00000039650,Nucleoli;Nucleus
ENSG00000040341,Cytosol;Nucleoplasm
ENSG00000040531,Vesicles
ENSG00000040608,Plasma membrane
ENSG00000041802,Cytosol;Nuclear bodies;Nucleus
ENSG00000042088,Nucleus
ENSG00000043039,Nucleoplasm
ENSG00000043355,Nuclear bodies
ENSG00000046647,Cytosol
ENSG00000046651,Microtubules
ENSG00000046774,Cytosol;Nucleus
ENSG00000047315,Nucleoplasm
ENSG00000047579,Microtubules;Midbody
ENSG00000047617,Plasma membrane
ENSG00000047849,Cytosol;Microtubules;Plasma membrane
ENSG00000048028,Nuclear bodies;Nucleoplasm
ENSG00000048392,Cytosol;Nucleoplasm
ENSG00000048405,Cytosol;Nucleoli
ENSG00000049283,Vesicles
ENSG00000049541,Nucleoplasm
ENSG00000049618,Nucleoplasm
ENSG00000049768,Nucleoplasm
ENSG00000050426,Mitochondria
ENSG00000051128,Cytosol;Plasma membrane
ENSG00000052749,Nucleoli
ENSG00000052841,Cytosol;Plasma membrane
ENSG00000052850,Nucleoplasm
ENSG00000053371,Cytosol
ENSG00000054598,Nucleoplasm
ENSG00000054967,Nucleus
ENSG00000055130,Nucleus
ENSG00000055208,Cytosol
ENSG00000055609,Nucleoplasm
ENSG00000056586,Vesicles
ENSG00000057935,Nucleus
ENSG00000058091,Cytosol;Nucleus
ENSG00000058262,Endoplasmic reticulum
ENSG00000058335,Golgi apparatus
ENSG00000058404,Cell Junctions;Plasma membrane
ENSG00000058453,Centrosome
ENSG00000058668,Plasma membrane
ENSG00000058804,Nuclear membrane
ENSG00000059145,Cytosol
ENSG00000059377,Vesicles
ENSG00000059691,Mitochondria
ENSG00000060138,Cytosol
ENSG00000060237,Cytosol
ENSG00000060339,Golgi apparatus;Nucleoplasm
ENSG00000060688,Nuclear speckles
ENSG00000061273,Cytosol
ENSG00000062598,Cytosol
ENSG00000062822,Nucleoplasm
ENSG00000063127,Golgi apparatus
ENSG00000063176,Vesicles
ENSG00000063322,Nucleoplasm
ENSG00000063438,Cytosol;Nucleoplasm
ENSG00000063660,Plasma membrane
ENSG00000064115,Cytosol;Nucleus
ENSG00000064393,Nucleus
ENSG00000064655,Cytosol
ENSG00000064687,Cell Junctions;Golgi apparatus;Plasma membrane
ENSG00000064692,Cytoplasmic bodies
ENSG00000064703,Cytosol;Nuclear bodies;Nucleoplasm
ENSG00000064933,Nuclear bodies;Nucleoplasm
ENSG00000064989,Plasma membrane
ENSG00000064995,Nucleoplasm
ENSG00000065054,Plasma membrane
ENSG00000065135,Centrosome
ENSG00000065150,Cytosol;Nucleoplasm
ENSG00000065154,Mitochondria
ENSG00000065243,Cytosol;Nucleoplasm;Plasma membrane
ENSG00000065325,Plasma membrane
ENSG00000065328,Nucleoli;Nucleus
ENSG00000065427,Cytosol
ENSG00000065457,Nucleoplasm
ENSG00000065485,Golgi apparatus;Nucleoli fibrillar center;Nucleoplasm
ENSG00000065518,Mitochondria
ENSG00000065618,Plasma membrane
ENSG00000065717,Nuclear bodies
ENSG00000065809,Nucleoplasm
ENSG00000065883,Nuclear speckles
ENSG00000065923,Vesicles
ENSG00000065970,Nucleoli fibrillar center;Nucleus
