Gene,label
ENSG00000000003,Cytosol
ENSG00000000460,Mitochondria
ENSG00000000938,Aggresome;Plasma membrane
ENSG00000000971,Vesicles
ENSG00000001084,Cytosol;Nucleoli;Nucleus
ENSG00000001460,Nucleoplasm
ENSG00000001461,Nucleoplasm
ENSG00000001497,Cytosol;Microtubule organizing center
ENSG00000002016,Nuclear speckles;Plasma membrane
ENSG00000002586,Golgi apparatus
ENSG00000002587,Vesicles
ENSG00000002919,Cytosol
ENSG00000002933,Mitochondria
ENSG00000003096,Cytosol
ENSG00000003137,Cytosol
ENSG00000003249,Cytosol;Nuclear speckles
ENSG00000003393,Cytosol;Intermediate filaments
ENSG00000003400,Golgi apparatus;Vesicles
ENSG00000003436,Cytosol;Intermediate filaments
ENSG00000004139,Vesicles
ENSG00000004142,Mitochondria
ENSG00000004534,Cytoplasmic bodies;Nuclear speckles
ENSG00000004777,Actin filaments;Cytosol;Plasma membrane
ENSG00000004838,Cytosol;Plasma membrane
ENSG00000005001,Nucleoplasm
ENSG00000005059,Cytosol;Nucleoplasm
ENSG00000005075,Nucleoplasm
ENSG00000005175,Cytosol
ENSG00000005189,Endoplasmic reticulum;Nuclear membrane;Nucleoli
ENSG00000005238,Nucleoli fibrillar center;Nucleus
ENSG00000005249,Centrosome;Cytosol;Golgi apparatus;Mitochondria
ENSG00000005302,Nucleoplasm
ENSG00000005448,Cytosol;Vesicles
ENSG00000005471,Actin filaments;Focal adhesion sites;Nucleoplasm
ENSG00000005801,Cytosol;Nucleus
ENSG00000005889,Nucleoli;Nucleoplasm
ENSG00000006007,Nucleoli;Nucleus;Vesicles
ENSG00000006015,Vesicles
ENSG00000006025,Cytosol;Nucleoplasm
ENSG00000006071,Cytosol;Golgi apparatus;Nucleoli
ENSG00000006118,Mitochondria
ENSG00000006282,Nucleoplasm
ENSG00000006327,Cytosol;Plasma membrane
ENSG00000006377,Nuclear bodies
ENSG00000006432,Nucleoli;Nucleus
ENSG00000006459,Nucleoli;Nucleoplasm
ENSG00000006468,Nucleoplasm
ENSG00000006576,Cytosol;Nucleoplasm
ENSG00000006607,Cytosol
ENSG00000006634,Nuclear bodies;Nucleus
ENSG00000006652,Cytosol;Plasma membrane
ENSG00000006756,Lipid droplets;Vesicles
ENSG00000007001,Mitochondria;Nucleus;Vesicles
ENSG00000007038,Cytosol
ENSG00000007047,Cytosol
ENSG00000007202,Cytosol;Nuclear speckles
ENSG00000007237,Actin filaments;Focal adhesion sites;Plasma membrane
ENSG00000007314,Microtubule organizing center;Nucleoplasm
ENSG00000007341,Centrosome
ENSG00000007376,Cell Junctions;Cytosol;Golgi apparatus;Nucleus
ENSG00000007392,Mitochondria;Nucleus
ENSG00000007402,Vesicles
ENSG00000007520,Cytosol;Golgi apparatus
ENSG00000007541,Golgi apparatus;Nucleoplasm;Vesicles
ENSG00000007545,Cytosol;Nucleoli;Nucleus
ENSG00000007923,Cytosol
ENSG00000008130,Nucleoplasm;Vesicles
ENSG00000008196,Nucleoplasm
ENSG00000008277,Cell Junctions
ENSG00000008324,Mitochondria;Nucleoli;Nucleus
ENSG00000008382,Nucleoli;Nucleus
ENSG00000008394,Endoplasmic reticulum;Mitochondria
ENSG00000008853,Plasma membrane
ENSG00000008869,Cytosol;Nucleoli;Nucleus
ENSG00000008952,Endoplasmic reticulum;Intermediate filaments
ENSG00000009335,Mitochondria;Nucleoplasm;Plasma membrane
ENSG00000009413,Nucleoplasm
ENSG00000009780,Cytosol;Nucleus
ENSG00000009790,Vesicles
ENSG00000010165,Cytosol
ENSG00000010327,Cytosol;Nucleoplasm;Plasma membrane
ENSG00000010361,Cytosol
ENSG00000010438,Endoplasmic reticulum;Vesicles
ENSG00000010539,Mitochondria
ENSG00000010704,Mitochondria;Nuclear membrane
ENSG00000011021,Cytosol;Plasma membrane
ENSG00000011105,Cytosol;Golgi apparatus;Nucleoplasm
ENSG00000011114,Focal adhesion sites
ENSG00000011132,Vesicles
ENSG00000011198,Vesicles
ENSG00000011258,Cytosol;Nucleus
ENSG00000011332,Cytosol;Mitochondria;Nucleoplasm
ENSG00000011566,Centrosome
ENSG00000011638,Vesicles
ENSG00000012174,Cytosol;Mitochondria;Nucleoplasm
ENSG00000012211,Centrosome;Nucleus;Plasma membrane
ENSG00000012504,Nucleoplasm
ENSG00000012817,Nucleoli fibrillar center
ENSG00000012963,Nucleus
ENSG00000012983,Cytosol;Plasma membrane
ENSG00000013016,Plasma membrane
ENSG00000013375,Cytosol;Nucleoplasm
ENSG00000013503,Nuclear speckles
ENSG00000013523,Nucleoplasm
ENSG00000013583,Vesicles
ENSG00000014914,Centrosome
ENSG00000015133,Nucleoli fibrillar center;Nucleus
ENSG00000015532,Cytosol;Nuclear bodies
ENSG00000015676,Cytosol;Nucleus;Plasma membrane
ENSG00000016402,Cytosol
ENSG00000016864,Mitochondria
ENSG00000017483,Cytosol;Plasma membrane;Vesicles
ENSG00000017797,Cytosol;Nuclear membrane;Vesicles
ENSG00000018610,Centrosome;Nucleus
ENSG00000018699,Mitochondria;Nucleoli
ENSG00000018869,Cytosol;Nucleoplasm
ENSG00000019102,Nucleoplasm
ENSG00000019144,Nucleoplasm
ENSG00000019169,Golgi apparatus;Vesicles
ENSG00000019549,Nucleus
ENSG00000019991,Centrosome;Cytosol
ENSG00000020256,Nucleus
ENSG00000020577,Cell Junctions
ENSG00000021574,Cytosol;Nucleoplasm
ENSG00000021826,Nucleoli
ENSG00000022277,Nucleoli;Nucleus
ENSG00000022567,Plasma membrane
ENSG00000022840,Mitochondria;Nucleoplasm
ENSG00000022976,Nucleoplasm;Plasma membrane
ENSG00000023171,Intermediate filaments;Nucleoli;Nucleus
ENSG00000023516,Cytosol;Nucleoli;Plasma membrane
ENSG00000023909,Cytosol;Nucleoplasm;Plasma membrane
ENSG00000024048,Nucleoplasm;Plasma membrane
ENSG00000024862,Cytosol
ENSG00000025039,Centrosome;Nucleoplasm
ENSG00000025423,Vesicles
ENSG00000025708,Golgi apparatus;Nuclear bodies
ENSG00000025800,Cytosol;Nucleoplasm
ENSG00000026025,Intermediate filaments
ENSG00000026103,Cytosol
ENSG00000026559,Vesicles
ENSG00000026652,Golgi apparatus;Nucleoli;Vesicles
ENSG00000026751,Vesicles
ENSG00000027075,Cytosol;Plasma membrane
ENSG00000028310,Nucleoplasm
ENSG00000029364,Endoplasmic reticulum
ENSG00000029993,Nucleoli;Nucleus
ENSG00000030419,Cytosol;Nuclear bodies;Nucleoplasm
ENSG00000031003,Nucleoplasm
ENSG00000033011,Endoplasmic reticulum;Nucleoli fibrillar center
ENSG00000033100,Cytosol;Nucleoplasm
ENSG00000033627,Golgi apparatus
ENSG00000033800,Microtubules
ENSG00000034239,Nucleoplasm;Plasma membrane
ENSG00000034533,Endoplasmic reticulum
ENSG00000034713,Cytosol;Nucleoplasm
ENSG00000035115,Nucleus
ENSG00000035141,Mitochondria
ENSG00000035499,Cytosol;Golgi apparatus;Nucleoplasm
ENSG00000035681,Nucleoli
ENSG00000036448,Mitochondria
