Gene,label
ENSG00000000457,Microtubules;Nuclear bodies
ENSG00000001631,Vesicles
ENSG00000004766,Cytosol;Plasma membrane
ENSG00000005102,Mitochondria;Nucleoli
ENSG00000006837,Nucleoplasm;Vesicles
ENSG00000007312,Cytosol;Nucleoplasm;Plasma membrane
ENSG00000007384,Vesicles
ENSG00000011009,Cytosol;Nucleoplasm
ENSG00000014164,Golgi apparatus;Nucleoplasm
ENSG00000015568,Nuclear membrane;Vesicles
ENSG00000015592,Golgi apparatus;Vesicles
ENSG00000021461,Cytosol
ENSG00000026950,Vesicles
ENSG00000035720,Nucleoplasm;Vesicles
ENSG00000041353,Cytosol;Golgi apparatus;Plasma membrane
ENSG00000044524,Cytosol;Golgi apparatus;Nucleoplasm
ENSG00000047056,Centrosome;Cytosol;Intermediate filaments
ENSG00000048545,Plasma membrane
ENSG00000048740,Cytokinetic bridge;Microtubules;Nucleoplasm
ENSG00000049239,Cytosol
ENSG00000049246,Cytosol
ENSG00000050030,Nucleoplasm
ENSG00000050438,Actin filaments
ENSG00000051108,Cytosol;Plasma membrane
ENSG00000051341,Cytosol;Golgi apparatus;Nucleus
ENSG00000051825,Cytosol;Nucleus;Plasma membrane
ENSG00000052344,Cytosol
ENSG00000054523,Cytosol;Nucleoli fibrillar center
ENSG00000054938,Mitochondria
ENSG00000056487,Nucleoli fibrillar center;Nucleus
ENSG00000059728,Cytosol;Mitochondria;Nucleoplasm
ENSG00000061455,Nucleoplasm
ENSG00000061492,Cytosol;Plasma membrane
ENSG00000062038,Cell Junctions;Cytosol
ENSG00000062096,Cytosol
ENSG00000063015,Intermediate filaments
ENSG00000065491,Cytosol;Nucleoplasm
ENSG00000065609,Centrosome;Cytosol
ENSG00000065882,Nucleoli
ENSG00000066248,Cytosol;Plasma membrane
ENSG00000067842,Golgi apparatus;Plasma membrane
ENSG00000069018,Actin filaments;Focal adhesion sites
ENSG00000069493,Golgi apparatus;Nucleoplasm
ENSG00000069702,Cytosol
ENSG00000069943,Cytosol;Plasma membrane
ENSG00000070019,Vesicles
ENSG00000070182,Cytosol;Golgi apparatus
ENSG00000072415,Nucleoplasm
ENSG00000072609,Microtubules;Nuclear bodies
ENSG00000073734,Cytosol;Nucleoplasm;Plasma membrane
ENSG00000074695,Cytosol
ENSG00000074771,Vesicles
