ENSG00000077420	Plasma Membrane,Cytoplasm
ENSG00000077498	Vesicles
ENSG00000077549	Vesicles,Nucleoplasm,Cytoplasm
ENSG00000078070	Mitochondria
ENSG00000078081	Vesicles
ENSG00000078237	Cytoplasm
ENSG00000078674	Cytoplasm
ENSG00000078808	Golgi Apparatus
ENSG00000079134	Nucleoplasm
ENSG00000079246	Nucleoplasm
ENSG00000079308	Cytoplasm
ENSG00000079387	Nucleoplasm,Cytoplasm
ENSG00000079739	Cytoplasm
ENSG00000079785	Nucleoplasm,Cytoplasm
ENSG00000079819	Plasma Membrane
ENSG00000079950	Vesicles
ENSG00000080224	Nucleoplasm
ENSG00000080819	Mitochondria
ENSG00000080839	Nucleoplasm
ENSG00000081059	Nucleoplasm
ENSG00000081277	Nucleoplasm
ENSG00000081307	Cytoplasm
ENSG00000082014	Nucleoplasm
ENSG00000082212	Mitochondria
ENSG00000082397	Plasma Membrane
ENSG00000082516	Cytoplasm
ENSG00000082701	Nucleoplasm
ENSG00000082898	Nuclear membrane,Nucleoplasm,Vesicles,Cytoplasm
ENSG00000083544	Nucleoplasm,Cytoplasm
ENSG00000083635	Nucleoli,Nucleoplasm
